Topic,Count,Name,Representation,Representative_Docs
31,245,31_susceptibility_hla_cd_ra,"['susceptibility', 'hla', 'cd', 'ra', 'polymorphisms', 'polymorphism', 'genetic', 'gene', 'allele', 'associated']","['Within defined statistical parameters, we excluded a role for the CARD15 1007fs and R702W variants in RA susceptibility. These data do not preclude a role for other polymorphisms in the CARD15 gene in RA susceptibility. Results from other autoimmune and inflammatory diseases will reveal whether the CARD15 gene is in fact a common autoimmune susceptibility locus.', 'EBV seems to function as an environmental risk factor for RA, particularly in patients with the RA-linked HLA-DRB1 alleles.', 'These data suggest that IL-6 gene polymorphisms are associated with disease susceptibility and phenotype of SLE. In addition, promoter polymorphisms may be involved in regulation of IL-6 expression.']"
32,244,32_lps_bile_inflammatory_liver,"['lps', 'bile', 'inflammatory', 'liver', 'induced', 'sepsis', 'ho', 'il', 'injury', 'lung']","['These data demonstrate that endogenous IL-10 exerts an anti-inflammatory role during reperfusion injury, possibly by regulating early stress related genetic response, adhesion molecule expression, neutrophil recruitment, and subsequent cytokine and oxidant generation.', 'Bile salt secretion after human liver transplantation recovers more rapidly than phospholipid secretion. This results in cytotoxic bile formation and correlates with bile duct injury. These findings suggest that endogenous bile salts have a role in the pathogenesis of bile duct injury after liver transplantation.', 'In hepatocytes, bile acid-induced toxicity is not prevented by scavengers of oxidative stress. The beneficial effects observed in patients might be because of the contribution of ROS and cytokines rather than bile acid-mediated oxidative stress. However, the use of specific Src kinase inhibitors might be a useful tool to prevent bile acid-induced injury in liver diseases.']"
33,240,33_ablation_aortic_af_hypothermia,"['ablation', 'aortic', 'af', 'hypothermia', 'valve', 'after', 'atrial', 'patients', 'surgery', 'mortality']","['Proximal aortic replacement adds no risk to the patient beyond the aortic valve intervention alone. These findings suggest proximal aortic replacement is safe for patients undergoing valve operations. Patients with a moderately enlarged proximal aorta that may dilate further should also be considered for aortic replacement at the time of valve procedures.', 'The major finding of our study is that patient-prosthesis mismatch does not affect left ventricular mass regression in patients older than 65 with pure aortic stenosis who underwent mechanical aortic valve replacement. In older patients with low cardiac output requirements, even a small change in the valve effective orifice area after aortic valve replacement with modern efficient mechanical prosthesis, will result in a marked reduction of pressure gradient and this will be associated with a significant regression of left ventricular mass.', 'In this single center consistent study of over 500 cases of AF ablation, patients with AF recurrence had a larger atrium, longer ablation time, and a higher chance of early recurrence than those remained in sinus rhythm. Inadvertent, long duration of ablation was an independent predictor of worse clinical outcomes after catheter ablation of AF.']"
34,210,34_ra_synovial_arthritis_fls,"['ra', 'synovial', 'arthritis', 'fls', 'il', 'tnf', 'mtx', 'joint', 'inflammatory', 'rheumatoid']","['These results support the hypothesis that Th17 cells are involved in the pathogenesis of RA and suggest that circulating CD4+CD161+ T cells are a potential biomarker of RA disease activity.', 'Anti-TNF therapy was associated with a significantly lower risk of cardiovascular events among patients with RA, older patients with RA and patients without prior exposure to methotrexate.', 'The findings in the present study indicate, for the first time, that IL-29 is dysregulated in patients with RA, which may contribute to the RA pathogenesis via inducing the production of proinflammatory cytokines, chemokines or matrix metalloproteinases in synovial fibroblasts.']"
35,209,35_pancreatitis_pancreatic_biliary_acute,"['pancreatitis', 'pancreatic', 'biliary', 'acute', 'ercp', 'bile', 'acinar', 'duct', 'pancreatectomy', 'cholecystectomy']","['The level of NF-κB activation correlates with the severity of acute pancreatitis in mice. Longer periods of activation (3 months) lead to chronic pancreatitis. These findings indicate that strategies to inactivate NF-κB might be used to treat patients with acute or chronic pancreatitis.', 'Ethanol induces the generation of oxygen radicals in pancreatic acinar cells. These levels increase upon induction of alcohol-induced pancreatitis. Similar to other models of acute pancreatitis, OFRs may therefore be involved in activating the cascade of self-digestion in alcohol-induced pancreatitis.', 'The identification of a second mutation in the cationic trypsinogen gene (HP2) suggests a dominant role of trypsin in premature protease activation-mediated forms of acute pancreatitis. The pathogenesis of hereditary pancreatitis also suggests that chronic pancreatitis may result from recurrent acute pancreatitis.']"
36,206,36_ventilation_peep_valve_mitral,"['ventilation', 'peep', 'valve', 'mitral', 'defibrillation', 'lung', 'hfov', 'annuloplasty', 'pressure', 'respiratory']","['Independent of the use of inhaled nitric oxide, high frequency jet ventilation appears to provide better ventilation than conventional mechanical ventilation and is safe to transport pre-ECMO neonates.', 'In patients with potentially reversible underlying diseases resulting in severe acute respiratory failure that is unresponsive to conventional ventilation, high-frequency ventilation improves gas exchange in a rapid and sustained fashion. The magnitude of impaired oxygenation and its improvement after high-frequency ventilation can predict outcome within 6 hrs.', 'In patients with mainly pulmonary acute respiratory distress syndrome, using high mean airway pressure under high-frequency oscillatory ventilation can worsen right ventricular function when compared with protective conventional mechanical ventilation, notably in patients in whom high-frequency oscillatory ventilation produced less alveolar recruitment of the posterior parts of the lungs. This study highlights the interest of monitoring right ventricular function during high-frequency oscillatory ventilation.']"
37,206,37_infants_preterm_neonatal_birth,"['infants', 'preterm', 'neonatal', 'birth', 'care', 'prenatal', 'term', 'delivery', 'maternal', 'women']","['Low birth weight NICU infants are at significant risk for AN. ELBW infants are at significantly higher risk for both AN and SNHL. Infants admitted to the NICU should be routinely screened by automated ABR and if abnormal, further evaluation should be started before hospital discharge. Early identification of AN will result in better understanding of this disorder and lead to the development of appropriate intervention strategies.', 'Compared to term infants, not only preterm but also late preterm and near-term CDH children carry an increased risk of ND delays. Motor performance appears most susceptible to earlier delivery.', 'Low Hb level at birth was significantly associated with mortality and receiving blood transfusion in preterm infants born at ≤32 weeks gestation. Further studies are needed to determine the association between Hb level at birth and long-term neurodevelopmental outcomes.']"
38,205,38_prostate_cancer_androgen_prostatic,"['prostate', 'cancer', 'androgen', 'prostatic', 'cells', 'ar', 'cell', 'growth', 'expression', 'epithelial']","['These results indicate that O-GlcNAc expression level in prostate cancer cells is associated with poor prognosis of prostate cancer patients and likely enhances tumor cell proliferation and invasion.', 'Many genes with altered expression associated with a metastatic prostate cancer phenotype were identified. Further validation of these genes in human prostate samples will determine their usefulness as biomarkers for early diagnosis of recurrence or metastasis of prostate cancer, as well as potential therapeutic targets for this disease.', 'Together, these results show that AhR is constitutively active in advanced prostate cancer cell lines that model hormone refractory prostate cancer. Chemical ablation of AhR signaling can reduce the growth of advanced prostate cancer cells, an effect not achieved with androgen receptor inhibitors or growth in androgen depleted media.']"
39,186,39_pylori_gastric_infection_eradication,"['pylori', 'gastric', 'infection', 'eradication', 'caga', 'gastritis', 'ulcer', 'strains', 'infected', 'peptic']","['H. pylori infection induces apoptosis and the activation of caspases -3 and -9 in gastric cancer cells. Moreover, the caspase inhibitors significantly suppress H. pylori-induced apoptosis. These findings suggest that the mitochondrial pathway may be the major pathway in H. pylori-induced apoptosis in gastric epithelial cells.', 'Using a novel CagA(+)H pylori infection model, we report here that the development of tolerance to H pylori protects from gastric cancer precursor lesions. The age at initial infection may thus account for the differential susceptibility of infected persons to H pylori-associated disease manifestations.', 'Neither H. pylori infection nor H. pylori infection by CagA+ strains reduce the risk of BE in a population with high prevalence of H. pylori infection.']"
40,184,40_prostate_psa_biopsy_cancer,"['prostate', 'psa', 'biopsy', 'cancer', 'men', 'gleason', 'prostatectomy', 'prostatic', 'grade', 'biochemical']","['Although inflammation on initial and subsequent biopsy does not predict prostate cancer in this cohort, we cannot dismiss its role in prostate cancer pathogenesis. Additional research is necessary to explore the relationship between prostate inflammation and prostate cancer development.', 'An increase in prostate specific antigen following androgen stimulation in men with prostate specific antigen between 2.5 and 4.0 ng/ml was highly predictive of the subsequent diagnosis of prostate cancer and it correlated with disease volume. If these findings are corroborated, prostate specific antigen provocation may become an important strategy to identify men at risk for harboring prostate cancer and minimize the number undergoing unnecessary biopsies.', 'The results of this study indicate that high T levels in prostate tissue are related to high Gleason score, advanced clinical stage, and a high percentage of positive biopsy cores in patients with prostate cancer. T level in needle biopsy specimens may therefore be a useful prognostic factor in prostate cancer patients.']"
41,169,41_bone_osteogenic_mscs_bmp,"['bone', 'osteogenic', 'mscs', 'bmp', 'healing', 'cells', 'differentiation', 'cell', 'msc', 'tissue']","['BMP-2-impregnated biomimetic scaffolds successfully induce bone healing in a marginal mandibular defect in the rat. Percentage healing of defect, percentage of bone within healed tissue, and total bone volume are all a function of BMP-2 dosing. There appears to be an optimal dose of 5 μg beyond which there is no increase in bone volume.', 'Dermal cells are a promising cell population for bone regeneration; unfortunately, the osteogenic potential of unsorted cells was quite low. This study demonstrated that a specific cell population in human dermis-bone morphogenetic protein receptor IB (BmprIB)+ cells-exhibited significantly higher osteogenic potential than unsorted dermal cells by repairing critical-sized calvarial defects in an immunodeficient mouse model. This animal study is an extension of a previous in vitro finding in which BmprIB was proven as a marker for enrichment of osteogenic precursor-like cells in human dermis, indicating that the selective cell population BmprIB from human dermis is a promising osteogenic progenitor cell that can provide a large-quantity and high-quality cell source for bone tissue engineering.', 'New synthetic bone substitutes may offer a better condition for bone regeneration compared to the traditional bone substitute in combination with mesenchymal stem cells. They remained in the defect and contributed bone regeneration. The use of the mesenchymal stem cell in conjunction with bone substitutes can enhance bone regeneration more than PRP.']"
42,168,42_exercise_bone_muscle_sarcopenia,"['exercise', 'bone', 'muscle', 'sarcopenia', 'bmd', 'mass', 'supplementation', 'training', 'cho', 'osteoporosis']","['The results suggest that in addition to the skeletal dysplasia, SDS is associated with a more generalized bone disease characterized by low bone mass, low bone turnover and by vertebral fragility fractures. Osteoporosis may result from a primary defect in bone metabolism, and could be related to the bone marrow dysfunction and neutropenia.', 'Increased muscle mass resulting from inhibition of myostatin function improves the positive effects of exercise on bone strength.', 'Uncomplicated diabetes does not seem to accelerate aging-related muscle mass or strength loss. Exercise test parameters may be useful markers in the screening of sarcopenia.']"
43,161,43_hearing_cochlear_speech_ci,"['hearing', 'cochlear', 'speech', 'ci', 'auditory', 'users', 'implant', 'electrode', 'noise', 'perception']","['The extraction of temporal fine structure cues supplemented in speech processing strategy of cochlear implant benefits the improvements in tone perception and the understanding of speech in cochlear implant recipients, which can further promotes their quality of life.', 'In cochlear implant recipients, acoustically evoked cochlear potentials are detectable even if hearing is extremely limited. Sensitive measures of cochlear and neural status can characterize the state of hair cell and neural function before implantation. Whether this information correlates with speech performance outcomes or can help in tailoring electrode type, placement or audiometric fitting, can be determined in future studies.', 'Bilateral cochlear implantation allowed for better speech recognition in noise relative to unilateral performance for a group of 12 children who underwent sequential bilateral cochlear implantation at various ages. There was not a statistically significant relationship between speech recognition in noise benefit, which was defined as the difference in performance between the first implanted ear and the bilateral condition and the age at which the second implant was received. Children receiving bilateral cochlear implants younger than 4 years of age achieved better speech recognition in quiet performance for the later implanted ear as compared with children receiving their second cochlear implant after 4 year of age.']"
44,158,44_sperm_testicular_spermatozoa_testis,"['sperm', 'testicular', 'spermatozoa', 'testis', 'torsion', 'spermatogenesis', 'semen', 'fertilization', 'spermatogenic', 'male']","['We identified major differences in elemental concentrations between sperm and seminal plasma and that higher sperm copper, sulfur and calcium are quantitatively associated with poorer semen quality and increased frequencies of genomic sperm defects.', 'Sperm quality in patients with active AS and after receiving short- and long-term TNF-α blocker therapy is comparable to sperm quality in healthy controls. Our study confirms that the disease process of AS does not have a major impact on sperm quality and that treatment with anti-TNF has no negative impact on sperm quality even under long-term treatment.', 'The FA-1 sperm antigen appears to significantly free sperm cells coated with autoantibodies in the semen of most infertile men examined. Reducing sperm-bound antibodies that inhibited the AR allowed the sperm cells to undergo successful AR induction by calcium ionophore.']"
45,156,45_gh_ghrelin_secretion_insulin,"['gh', 'ghrelin', 'secretion', 'insulin', 'acromegaly', 'children', 'pituitary', 'igf', 'levels', 'ghd']","['Our findings demonstrate that after short-term fasting, the study of spontaneous GH secretion distinguishes between GH-deficient adults and normal subjects; this phenomenon occurs before significant changes in IGF-I and IGFBP-3 levels. These results suggest that the assessment of spontaneous GH secretion could be useful for the diagnosis of adult GH deficiency only after short-term fasting.', 'Growth hormone resistance and low IGF-I levels are associated with elevated ghrelin levels, which may potentiate GH secretion and adiposity in these children. Suppression of ghrelin during IGF-I treatment suggests a novel mechanism potentially regulating ghrelin levels.', 'We did not observe elevated ghrelin levels in adult GHD subjects and GH replacement therapy did not modify circulating ghrelin levels, despite significant decreases in body fat mass and percentage body fat. It is conceivable that the lack of ghrelin modifications after long-term GH therapy was due to the reduction of adiposity and insulin on one hand, and increased GH secretion on the other. However, it is still possible that systemic ghrelin is involved in the development of obesity, both in normal and GHD subjects.']"
46,149,46_rejection_allograft_donor_transplantation,"['rejection', 'allograft', 'donor', 'transplantation', 'graft', 'allografts', 'transplant', 'recipient', 'cells', 'acute']","['In the DBA/2-> C57B1/6 strain combination, cardiac allografts induce pro-inflammatory immunity and allograft rejection, while kidney allografts induce anti-inflammatory immunity and allograft acceptance despite the fact that both organs display the same strong MHC disparities and are implanted at the same location. Anti-inflammatory immunity and allograft acceptance are displayed by cardiac allograft recipients when they are transiently treated with select immunosuppressants. Thus, multiple immune response options are available to the organ allograft recipient, and the choice is determined, to some degree, by the allograft, itself.', 'This study identifies donor IL-6 genotype as a major genetic risk factor for the development of acute rejection after renal transplantation. This provides evidence that donor-derived cytokines play a major role in determining outcome after transplantation, and will contribute to the development of therapeutic algorithms to predict individuals at particularly high risk of acute rejection.', '(1) iNOS expression and increased NO production occurred during the early stages of acute rejection, persisted throughout the unmodified rejection process, and localized to infiltrating inflammatory cells, but not allograft parenchymal cells; (2) aminoguanidine ameliorated the histological and functional changes of acute rejection; and (3) increased NO production, detected by the presence of iNOS mRNA, protein, or noninvasively by measuring serum nitrite/nitrate levels, may serve as an early marker of acute allograft rejection.']"
47,146,47_nafld_insulin_coffee_diabetes,"['nafld', 'insulin', 'coffee', 'diabetes', 'igt', 'glucose', 'fat', 'resistance', 'type', 'diet']","['This study shows that the associations of increased ALT serum levels in NAFLD patients are different from what are supposed before. By excluding diabetic patients from our population, we find that increased ALT levels are not associated with dyslipidemias but are independently associated with insulin resistance and NAFLD grading on ultrasonographic evaluations. Further studies are needed to confirm our results.', 'In this metabolically healthy population, individuals with overweight and obesity exhibited an increased incidence of diabetes, regardless of the presence of NAFLD. This finding suggests that the obese phenotype per se, independent of the presence of NAFLD, can increase the development of diabetes.', 'Even without weight loss, MD reduces liver steatosis and improves insulin sensitivity in an insulin-resistant population with NAFLD, compared to current dietary advice. This diet should be further investigated in subjects with NAFLD.']"
48,145,48_seizure_epilepsy_seizures_eeg,"['seizure', 'epilepsy', 'seizures', 'eeg', 'epileptic', 'hfos', 'ictal', 'epileptogenic', 'onset', 'interictal']","['The data from this study are in line with clinical experience that the frequency of seizures in the early phase of epilepsy is a dominant risk factor that predicts refractoriness. However, resistance to treatment also occurred in rats that did not differ in seizure frequency from responders, indicating that disease severity alone is not sufficient to explain antiepileptic drug (AED) resistance. These data provide further evidence that epilepsy models are useful in the search for predictors and mechanisms of pharmacoresistance.', 'We demonstrated that distinct seizure-onset patterns correlate specific interictal and ictal HFO profiles confirming that seizures with different morphological patterns likely have different mechanisms of generation. This study emphazises that, in clinical practice, seizure-onset patterns should be distinguished and specified when analyzing HFOs, particularly if they are used in presurgical evaluation to better localize the seizure-onset zone.', 'Clinical factors such as seizure frequency and duration of epilepsy are not risk factors for postoperative seizure recurrence.']"
49,142,49_angiotensin_ii_no_endothelium,"['angiotensin', 'ii', 'no', 'endothelium', 'receptor', 'endothelial', 'et', 'ang', 'channels', 'dependent']","['Losartan-sensitive renal damage caused by chronic NOS inhibition does not involve increased renal Ang II concentrations. This suggests that the detrimental effects of endogenous Ang II are increased during chronic NOS inhibition. Thus, when NO levels are low, normal Ang II concentrations can cause renal injury and hypertension.', 'Treatment with angiotensin II attenuated increases in hydraulic permeability because of IR by 50%. Inhibition of cAMP synthesis did not change the effect of angiotensin II on IR mediated leak, and angiotensin II type 2 receptor inhibition completely blocked the effects of angiotensin II. These results indicate that angiotensin II decreases IR induced leak via the angiotensin II type 2 receptor in a cAMP independent manner. A better understanding of mediators that reduce intravascular fluid loss from IR-induced microvascular dysfunction may help clinicians treat uncontrolled fluid extravasation that occurs during shock and sepsis.', 'The consequences of aging for endothelium-dependent and endothelium-independent relaxations of rings from spontaneously hypertensive rats are ameliorated by losartan treatment, suggesting that angiotensin II plays a role via type 1 receptors. The effects of losartan on senescent spontaneously hypertensive rats were due not only to its blood-pressure-lowering action but also to the blockade of specific mechanisms derived from angiotensin II type 1 receptor antagonism, which might involve an increase in availability of NO.']"
50,142,50_sleep_insomnia_sleepiness_snoring,"['sleep', 'insomnia', 'sleepiness', 'snoring', 'duration', 'deprivation', 'rem', 'associated', 'quality', 'daytime']","['Poor sleep quality may be associated with osteoporosis. In particular, increased sleep disturbances may be a key factor in the association between poor sleep quality and osteoporosis.', 'Sleep duration, as measured with actigraphy, had a U-shaped relationship with BMI and obesity in an elderly population. A highly fragmented sleep is associated with a higher BMI and a higher risk of obesity, and may explain why short sleep is related to obesity. To preclude bias that can be introduced by self-report measures of sleep duration, using multiple measures of sleep parameters is recommended in future research.', 'In adults with primary insomnia, tiagabine significantly increased slow-wave sleep in a dose-dependent manner with a corresponding significant decrease in Stage 1 sleep, whereas no significant differences were observed in wake after sleep onset, latency to persistent sleep, or total sleep time compared with placebo.']"
51,141,51_infants_birth_breastfeeding_milk,"['infants', 'birth', 'breastfeeding', 'milk', 'maternal', 'offspring', 'weight', 'pregnancy', 'gestational', 'diabetes']","[""Offspring exposed to maternal gestational hypertension in utero have an increased risk of type 2 diabetes in late adult life. This finding underlines the role of the whole spectrum of hypertensive disorders of pregnancy as risk factors of offspring disease throughout life. It also reinforces previous suggestions that adult health care providers should incorporate birth histories when evaluating an individual's risk to develop type 2 diabetes."", 'Higher gestational weight gain in women with type 1 diabetes was associated with increasing offspring birth weight independent of glycemic control and prepregnancy BMI.', 'Milk intake in pregnancy was associated with higher birth weight for gestational age, lower risk of SGA, and higher risk of LGA.']"
52,141,52_gene_regulatory_genes_cis,"['gene', 'regulatory', 'genes', 'cis', 'rna', 'transcription', 'splicing', 'that', 'binding', 'our']","['Our genome context analysis suggests specific functional interactions for proteins involved in DNA replication between each other or with proteins involved in DNA repair or transcription. Furthermore, it suggests a previously unrecognized regulatory network coupling DNA replication and translation in Archaea that may also exist in Eukarya.', ""In the U1A-3'UTR complex, sequence-specific interactions are made entirely by the conserved heptanucleotide and the last base pair (C:G) of the stem. The structure is stabilized by protein-protein contacts and by electrostatic interactions between basic amino acids of the protein and the phosphate backbone of the RNA stem regions. The formation of a protein dimer necessary for the inhibition of poly(A) polymerase requires a conformational change of the C termini of the proteins upon RNA binding. This mechanism could prevent the inhibition of poly(A) polymerase by free U1A protein. The model is consistent with biochemical data, and the protein-protein interactions within the 3'UTR complex account for the cooperativity of U1A protein binding to the 3'UTR. The model also serves as an important structural guide for designing further experiments to understand the interaction between the U1A-3'UTR complex and poly(A) polymerase."", 'Our analysis suggests that the presence of a single type of Posterior Hox genes (PG9-like) is ancestral to bilaterians, and that new Posterior PGs would have arisen in deuterostomes through independent gene duplications. Four types of Central genes would also be ancestral to bilaterians, with two of them, PG6- and PG7-like that gave rise, in protostomes, to the UbdA- and ftz/Antp/Lox5-type genes, respectively. A fifth type of Central genes (PG8) would have emerged in the vertebrate lineage. Our results also suggest the presence of Anterior (PG1 and PG3), Central and Posterior Hox genes in the cnidarians, supporting an ancestral four-gene Hox cluster. In addition, our data support the relationship of the bilaterian ParaHox genes Gsx and Xlox with PG3, and Cdx with the Central genes. Our study therefore indicates three possible models for the origin of Hox and ParaHox in early metazoans, a two-gene (Anterior/PG3--Central/Posterior), a three-gene (Anterior/PG1, Anterior/PG3 and Central/Posterior), or a four-gene (Anterior/PG1--Anterior/PG3--Central--Posterior) ProtoHox cluster.']"
53,138,53_copd_cpap_emphysema_exercise,"['copd', 'cpap', 'emphysema', 'exercise', 'severe', 'patients', 'ams', 'pulmonary', 'lung', 'with']","['While circulating ADMA is higher, NO is lower in COPD and both show a strong correlation to the degree of airflow limitation. ADMA seems to be a possible new marker of prognosis of COPD and can be a novel therapeutic target for the treatment of COPD.', 'The progression of COPD is very heterogeneous. Most patients show no statistically significant decline of FEV(1) or increase in BODE. The multidimensional evaluation of COPD should offer insight into response to COPD management.', 'The best individualized CPAP can increase inspiratory capacity in patients with stable COPD, especially in those with emphysema.']"
54,135,54_folate_homocysteine_vitamin_b12,"['folate', 'homocysteine', 'vitamin', 'b12', 'folic', 'thcy', 'acid', 'hyperhomocysteinemia', 'plasma', 'methionine']","['Oral folic acid 5 mg twice per week may efficiently reduce serum homocysteine levels and increase serum folic acid levels in healthy children with increased homocysteine levels (>95(th) percentile for age). Hyperhomocysteinemia in childhood may be a predictive factor of cardiovascular disease. In addition, these results may offer more help to health practioners in order to establish more prospective studies to elucidate the relationship between homocysteine, folic acid and heart disease in children.', ""Subjects were already vitamin B-6 deficient at admission. Folate status was impaired during the study. Low vitamin intakes were the main cause of vitamin B-6 deficiency and folate status deterioration. Hematology and mental status capacity were not aggravated by folate status deterioration. Plasma tHcy didn't appear to be an earlier predictor of folate deficiency."", 'In this study of elderly subjects with vitamin B12 deficiency, supplementation with folate and vitamin B12 was associated with a significant improvement in CFR values.']"
55,129,55_reflux_gerd_esophageal_ph,"['reflux', 'gerd', 'esophageal', 'ph', 'acid', 'gastroesophageal', 'heartburn', 'oesophageal', 'gastric', 'ranitidine']","['The association between childhood obesity and GERD may have important implications for their future risk of GERD-associated diseases, such as esophageal adenocarcinoma.', ""Electrical stimulation of the LES is safe and effective for treating GERD. There is a significant and sustained improvement in GERD symptoms, esophageal pH, and reduction in PPI usage without any side effects with the therapy. Furthermore, the therapy can be optimized to address an individual patient's disease."", 'Fifty percent of patients with GERD without BE continue to exhibit pathologic GERD and low intragastric pH despite PPI therapy that achieves complete reflux symptom control.']"
56,127,56_alcohol_ethanol_drinking_alcoholism,"['alcohol', 'ethanol', 'drinking', 'alcoholism', 'cannabis', 'consumption', 'gaba', 'dependence', 'effects', 'use']","['These data suggest that mice selectively bred for low alcohol preference are more sensitive to the development of alcohol CTA than mice selectively bred for high alcohol preference. The present findings indicate that common genes mediate both alcohol preference and the aversive effects of alcohol as measured in the CTA paradigm.', 'These results suggest that consumption during early exposure to ethanol establishes a pattern leading to development of increased alcohol consumption and preference in adolescent male rats. In addition, they represent an animal model of the well-described observation that humans who consume large quantities of ethanol during early exposure are the most likely to repeat heave drinking behavior. Furthermore, early consumption is distinct from novelty seeking, anxiety, and stress hormone levels which are also thought to contribute to vulnerability to alcoholism.', 'Alcohol drinking behavior in experimental animals depends on the age of alcohol drinking onset.']"
57,127,57_sle_antibodies_anti_lupus,"['sle', 'antibodies', 'anti', 'lupus', 'dsdna', 'nephritis', 'autoantibodies', 'disease', 'ssc', 'activity']","['Serum sTRAIL concentrations are increased SLE patients. This seems to be disease specific and could indicate a role for TRAIL in SLE pathophysiology.', 'These findings indicate that anti-C1q antibodies are associated with SLE global activity but not specifically with active lupus nephritis.', 'Our results show that alcohol consumption before SLE diagnosis is not associated with the risk for SLE, and that individuals who develop SLE are more likely to quit.']"
58,127,58_glucose_estrogen_hypoglycemia_dl,"['glucose', 'estrogen', 'hypoglycemia', 'dl', 'mortality', 'hyperglycemia', 'women', 'postmenopausal', 'hrt', 'diabetes']","['A total of 2,165 of the 2,554 admitted patients during the study period were included (96.5%). Exclusion criteria were absence of plasma glucose determinations. In the bivariate analysis, first and mean glucose blood levels showed significant differences in mortality rates in absolute figures and also when data were classified stratified in three levels (< 60 mg/dl; 60-110 mg/dl or > 110 mg/dl) or in two (normal values 60 to 110 mg/dl and unusual figures < 60 mg/dl or > 110 mg/dl). These significant differences were lost when a logistic model was applied. From the remaining variables, renal function and NEMS showed to be mortality risks factors in this sample.', 'In cardiac surgical patients with a preinduction glucose above 110 mg/dL, even if diabetes was not previously suspected, perioperative insulin requirements were higher, and intraoperative insulin management is more difficult than in those with a preinduction glucose 110 mg/dL or lower. Preinduction glycemia and BMI are good predictors of perioperative insulin management. Preinduction glycemia above 110 mg/dL predicts difficult perioperative glucose control and, moreover, that a preinduction blood glucose of 110 mg/dL or lower is associated with less insulin need.', 'We found that hypoglycemia (glucose<71 mg/dL) and hyperglycemia (glucose>140 mg/dL) were associated with increased risk of complications, whereas greater complexity of the glucose time series was associated with mortality.']"
59,122,59_methylation_hypermethylation_promoter_epigenetic,"['methylation', 'hypermethylation', 'promoter', 'epigenetic', 'neuroblastoma', 'gene', 'cpg', 'suppressor', 'island', 'cancer']","['H3K4me3 equally protects from DNA methylation at both CpG-island and non-CpG island start sites in colon cancer. Moreover, the results suggest that CpG-rich genes repressed by loss of H3K4me3 and DNA methylation represent special instances of a more general epigenetic mechanism of gene silencing, one in which gene silencing is mediated by loss of H3K4me3 and methylation of non-CpG island promoter-associated cytosines.', 'The epigenetic changes observed in this study indicate that HCC tumors exhibit specific DNA methylation signatures with potential clinical applications in diagnosis and prognosis. In addition, methylation frequency could be used to monitor whether a patient with chronic hepatitis C is likely to progress to liver cirrhosis or even HCC. We can conclude that methylation processes are not just early events in hepatocarcinogenesis but accumulate with progression to cancer.', 'Hypermethylation of DNA in the promoter region is related to transcriptional silencing of hMLH1 gene. Histone H3-K9 methylation in different regions of the promoter studied correlates with DNA methylation status of hMLH1 gene in gastric cancer cells. Alteration of DNA methylation affects histone H3-K9 methylation. 5-Aza-dC can control hMLH1 expression, DNA methylation, and histone H3-K9 methylation in the promoter.']"
60,121,60_smoking_nicotine_smokers_tobacco,"['smoking', 'nicotine', 'smokers', 'tobacco', 'alcohol', 'abstinence', 'cigarette', 'cessation', 'quit', 'cues']","['Dopamine appears to play a role in mediating smoking behavior, but this may occur through a non-nicotine mechanism.', 'High cessation rates were obtained in a population of heavy smokers with moderate nicotine dependence. It was possible to obtain sustained abstinence in smokers in early motivational stages. These smokers would probably not have been reached by traditional smoking campaigns.', 'These results suggest that smoking topography may be useful to predict abstinence after using nicotine replacement therapy and to assess harm from smoking.']"
61,120,61_periodontal_periodontitis_gingivalis_gingival,"['periodontal', 'periodontitis', 'gingivalis', 'gingival', 'lps', 'disease', 'inflammatory', 'destruction', 'inflammation', 'levels']","['The present results indicate that sICAM-1 levels are correlated to the severity of periodontitis. NOD1 and NOD2 mediate P. gingivalis-induced ICAM-1 production in periodontal fibroblasts. NOD1 and NOD2 could be considered potential targets for periodontal therapy.', 'The results of this study confirm the association between periodontal inflammation and increased cardiovascular risk shown by impaired vascular health in case of severe periodontitis. As impaired vascular health is a common finding in patients suffering from severe periodontal disease a concomitant routine cardiovascular evaluation may be advised.', 'High levels of P.\xa0gingivalis-induced IgG2 were associated with low HDL concentrations in patients with periodontitis, which suggests that the response of the host to periodontal infection may play an important role in the pathogenesis of cardiovascular diseases.']"
